# 曲名：平凡之路
# 推荐节拍：544 ms/拍
# 来源版本：治愈房车（朴树原作的公开翻唱）；full-length cover; original catalog stream unavailable without entitlement
# 制谱说明：完整本地音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 0.5
a 0.5
p 0.5
a 0.5
n 1
v 1
a 1.5
b 1
a 0.5
p 0.5
m 0.5
p 0.5
b 0.5
s 0.5
m 0.5
a 0.5
s 0.5
a 0.5
b 0.5
n 0.5
a 1
v 0.5
n 0.5
a 1
p 0.5
b 0.5
d 0.5
a 0.5
p 0.5
m 1
b 0.5
s 0.5
m 0.5
a 0.5
s 0.5
a 0.5
d 0.5
a 1
h 0.5
a 0.5
v 0.5
a 1
b 1
d 0.5
b 1
m 0.5
a 0.5
p 0.5
n 0.5
m 1
p 1
a 2
p 0.5
m 0.5
a 0.5
s 1
b 0.5
d 0.5
m 0.5
a 1
v 0.5
a 0.5
p 1
b 1
g 0.5
a 0.5
p 1
a 0.5
p 0.5
m 0.5
g 1
t 0.5
p 1
a 0.5
p 0.5
g 1.5
b 0.5
v 0.5
g 0.5
p 0.5
a 1
p 0.5
q 1
g 0.5
b 2
g 0.5
p 0.5
a 0.5
b 1
q 0.5
p 0.5
t 0.5
b 1
m 0.5
p 0.5
a 0.5
b 0.5
m 0.5
p 0.5
a 0.5
m 0.5
b 2
p 4.5
b 0.5
j 0.5
b 0.5
a 0.5
p 1
g 0.5
b 0.5
g 0.5
p 1
g 0.5
p 0.5
b 0.5
g 0.5
b 1.5
g 1
b 0.5
a 0.5
g 0.5
a 0.5
q 0.5
b 0.5
q 0.5
g 0.5
q 0.5
j 0.5
a 0.5
b 0.5
e 0.5
p 0.5
q 0.5
p 0.5
q 1
n 0.5
p 0.5
b 1
g 0.5
p 0.5
q 0.5
e 0.5
q 1.5
p 0.5
b 1
q 0.5
p 2
g 0.5
p 1
b 0.5
w 0.5
p 1
q 1
g 0.5
t 0.5
q 0.5
a 0.5
p 0.5
d 0.5
p 0.5
b 1
d 0.5
p 2.5
q 0.5
b 1.5
g 0.5
p 1
q 1
p 1
b 0.5
p 0.5
b 0.5
q 0.5
a 0.5
b 0.5
g 0.5
e 0.5
p 1
b 0.5
g 0.5
p 1
n 0.5
d 0.5
a 2
f 0.5
a 2
d 1
a 0.5
p 1
a 0.5
m 0.5
p 2
d 0.5
a 1.5
v 0.5
f 0.5
a 2
d 1
a 0.5
m 1
p 0.5
m 0.5
b 1
p 0.5
n 0.5
d 0.5
a 2
p 0.5
f 0.5
a 1
p 0.5
a 0.5
b 0.5
d 0.5
a 1
p 0.5
m 0.5
p 0.5
s 0.5
n 1
p 0.5
a 1.5
v 1
f 0.5
a 1.5
p 0.5
d 0.5
a 1
p 0.5
b 0.5
n 0.5
m 0.5
p 0.5
a 1
d 0.5
a 0.5
p 0.5
a 0.5
v 0.5
f 0.5
a 1.5
b 1.5
a 0.5
p 1
a 0.5
n 0.5
s 0.5
m 0.5
a 0.5
m 0.5
d 0.5
a 0.5
p 0.5
n 0.5
v 1
n 0.5
a 0.5
p 0.5
b 0.5
p 0.5
d 0.5
a 0.5
m 0.5
p 1
s 0.5
m 0.5
a 1.5
d 0.5
a 1
h 0.5
v 0.5
a 0.5
v 0.5
a 1
d 0.5
p 0.5
d 0.5
b 0.5
s 0.5
m 0.5
a 0.5
p 0.5
m 0.5
p 0.5
a 0.5
n 0.5
d 0.5
a 1.5
v 1
a 2.5
m 1.5
b 0.5
p 0.5
n 0.5
m 0.5
p 0.5
a 0.5
p 0.5
d 0.5
a 1
n 0.5
v 1
p 0.5
a 0.5
b 1
p 0.5
d 0.5
a 0.5
p 1
b 0.5
p 0.5
m 0.5
a 1.5
d 0.5
a 0.5
n 1
v 0.5
f 0.5
a 1
p 0.5
b 1.5
a 0.5
p 1.5
s 0.5
a 0.5
m 0.5
a 0.5
s 0.5
d 0.5
a 1
h 0.5
n 0.5
v 0.5
a 1
b 0.5
d 0.5
p 0.5
d 0.5
s 0.5
m 1
p 1
m 1.5
p 0.5
a 0.5
s 0.5
a 0.5
p 0.5
v 0.5
m 1
s 1.5
p 0.5
s 0.5
m 0.5
a 0.5
p 0.5
b 0.5
n 0.5
s 0.5
p 0.5
a 0.5
s 0.5
d 0.5
b 0.5
p 0.5
a 0.5
p 0.5
v 1
g 0.5
b 2
p 0.5
b 1
p 1
s 0.5
a 0.5
p 0.5
s 0.5
d 0.5
a 1
n 0.5
v 0.5
a 0.5
v 0.5
a 0.5
b 0.5
a 0.5
p 0.5
d 0.5
b 1
m 0.5
p 1
m 0.5
a 1
s 0.5
a 0.5
d 0.5
p 0.5
h 0.5
a 0.5
p 0.5
f 0.5
a 0.5
n 0.5
d 0.5
p 0.5
d 0.5
b 1
m 0.5
g 0.5
s 0.5
m 0.5
a 0.5
s 0.5
n 0.5
d 1
a 1
v 1.5
a 0.5
s 1
p 0.5
a 0.5
p 0.5
a 0.5
d 1
a 0.5
d 0.5
a 1
g 0.5
p 0.5
v 0.5
a 3
p 0.5
b 2.5
a 1
p 0.5
b 0.5
d 1.5
a 0.5
g 0.5
n 1
b 1
p 0.5
a 0.5
v 0.5
b 1.5
a 0.5
b 0.5
a 2
d 1
s 0.5
a 0.5
d 0.5
g 0.5
d 0.5
a 0.5
f 0.5
a 1
p 0.5
b 1.5
a 2
p 0.5
b 0.5
d 1
n 0.5
a 0.5
g 0.5
p 0.5
v 1
p 0.5
a 1
p 0.5
b 1
d 0.5
a 2.5
s 1
b 4.5
p 4
