# 曲名：孤勇者
# 推荐节拍：923 ms/拍
# 制谱说明：中国曲谱网公开完整单旋律简谱页；按反复、第一/第二结尾和 D.S. 展开实际演奏顺序。
w 0.5
e 0.5
e 0.5
t 0.5
e 0.75
t 0.25
e 0.75
t 0.25
e 0.25
t 0.25
y 0.25
e 0.25
t 0.5
t 0.5
e 0.75
t 0.25
e 0.75
t 0.25
e 0.25
t 0.25
y 0.25
e 0.25
t 0.5
t 0.25
t 0.25
e 0.25
w 0.25
w 0.5
w 0.5
q 0.25
e 0.25
e 0.25
w 0.25
w 0.5
w 0.5
q 0.25
q 0.25
h 2
p 1
p 0.5
t 0.25
t 0.25
e 0.25
w 0.25
w 0.5
w 0.5
q 0.25
e 0.25
e 0.25
w 0.25
w 0.5
w 0.5
q 0.25
q 0.25
h 2
p 1
p 1
p 1
p 1
p 1
p 1
p 1
p 1
p 1
p 1
p 1
p 1
p 1
p 0.5
h 0.25
g 0.25
h 0.75
g 0.25
h 0.25
g 0.25
h 0.25
g 0.25
h 0.5
h 0.25
g 0.25
h 0.25
g 0.25
h 0.25
g 0.25
d 0.25
d 0.75
d 1
p 1
p 0.5
h 0.25
g 0.25
h 0.75
g 0.25
h 0.25
g 0.25
h 0.25
g 0.25
j 0.75
j 0.25
j 0.25
h 0.25
j 0.25
h 0.25
d 0.25
d 0.75
d 1
p 1
p 0.25
d 0.25
g 0.25
d 0.25
s 0.75
d 0.25
s 0.75
d 0.25
s 0.75
d 0.25
g 0.25
d 0.25
g 0.25
d 0.25
s 0.75
d 0.25
s 0.75
d 0.25
s 1
p 0.5
a 0.25
s 0.25
d 0.5
h 0.5
q 0.5
e 0.5
w 0.75
w 0.25
q 0.25
q 0.25
q 0.5
h 3
p 0.5
h 0.25
j 0.25
q 0.25
w 0.25
j 0.25
q 0.25
q 0.5
q 0.25
j 0.25
q 0.25
w 0.25
j 0.25
q 0.25
q 0.5
q 0.25
w 0.25
e 0.25
w 0.25
e 0.25
w 0.25
e 0.5
e 0.25
w 0.25
e 0.5
t 0.5
e 0.5
h 0.25
j 0.25
q 0.25
w 0.25
j 0.25
q 0.25
q 0.5
q 0.25
j 0.25
w 0.25
w 0.25
j 0.25
q 0.25
q 0.5
q 0.25
w 0.25
e 0.25
w 0.25
e 0.25
w 0.25
e 0.5
e 0.25
w 0.25
w 0.5
e 0.5
e 0.5
t 0.5
e 0.75
t 0.25
e 0.75
t 0.25
e 0.25
t 0.25
y 0.25
e 0.25
t 0.5
t 0.5
e 0.75
t 0.25
e 0.75
t 0.25
e 0.25
t 0.25
y 0.25
e 0.25
t 0.5
t 0.25
t 0.25
e 0.25
w 0.25
w 0.5
w 0.5
q 0.25
e 0.25
e 0.25
w 0.25
w 0.5
w 0.5
q 0.25
q 0.25
h 2
p 1
p 0.5
t 0.25
t 0.25
e 0.25
w 0.25
w 0.5
w 0.5
q 0.25
e 0.25
e 0.25
w 0.25
w 0.5
w 0.5
q 0.25
q 0.25
s 1
d 1
h 0.5
n 0.5
a 0.5
d 0.5
j 1
j 0.5
j 0.25
j 0.25
h 0.25
h 0.75
h 3
p 0.5
n 0.5
a 0.5
d 0.5
j 1
j 0.5
j 0.25
j 0.25
h 0.25
h 0.75
h 2
p 0.5
h 0.25
j 0.25
h 2
p 1
p 1
q 0.25
w 0.25
j 0.25
q 0.25
q 0.5
q 0.25
j 0.25
q 0.25
w 0.25
j 0.25
q 0.25
q 0.5
q 0.25
w 0.25
e 0.25
w 0.25
e 0.25
w 0.25
e 0.5
e 0.25
w 0.25
e 0.5
t 0.5
e 0.5
h 0.25
j 0.25
q 0.25
w 0.25
j 0.25
q 0.25
q 0.5
q 0.25
j 0.25
w 0.25
w 0.25
j 0.25
q 0.25
q 0.5
q 0.25
w 0.25
e 0.25
w 0.25
e 0.25
w 0.25
e 0.5
e 0.25
w 0.25
w 0.5
e 0.5
e 0.5
t 0.5
e 0.75
t 0.25
e 0.75
t 0.25
e 0.25
t 0.25
y 0.25
e 0.25
t 0.5
t 0.5
e 0.75
t 0.25
e 0.75
t 0.25
e 0.25
t 0.25
y 0.25
e 0.25
t 0.5
t 0.25
t 0.25
e 0.25
w 0.25
w 0.5
w 0.5
q 0.25
e 0.25
e 0.25
w 0.25
w 0.5
w 0.5
q 0.25
q 0.25
h 2
p 1
p 0.5
t 0.25
t 0.25
e 0.25
w 0.25
w 0.5
w 0.5
q 0.25
e 0.25
e 0.25
w 0.25
w 0.5
w 0.5
q 0.25
q 0.25
h 2
p 1
p 1
