# 曲名：寄明月
# 推荐节拍：418 ms/拍
# 身份：SING女团官方账号正式版MV/正式录音，非Live或舞蹈翻拍。
# 制谱说明：完整正式音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 0.5
q 0.5
p 0.5
g 0.5
h 0.5
p 1
b 0.5
p 1
g 0.5
f 0.5
h 0.5
f 0.5
p 0.5
n 0.5
s 0.5
n 0.5
p 1.5
h 1
p 0.5
g 0.5
p 1
a 0.5
h 1
s 0.5
v 0.5
w 0.5
q 1
g 0.5
h 1
p 0.5
g 0.5
p 0.5
w 0.5
p 0.5
f 0.5
r 0.5
p 1
g 0.5
p 0.5
g 0.5
p 0.5
q 1
w 2
t 0.5
h 0.5
a 0.5
p 0.5
h 0.5
p 1
s 0.5
f 0.5
q 0.5
p 0.5
g 2.5
p 1
g 0.5
f 0.5
p 0.5
f 0.5
p 0.5
f 0.5
g 0.5
p 0.5
g 1
h 1.5
p 3
h 0.5
p 0.5
s 0.5
p 0.5
f 0.5
q 1
p 0.5
h 1
g 1
p 1.5
f 0.5
g 0.5
p 0.5
g 0.5
f 0.5
p 2.5
s 1
p 0.5
f 0.5
t 0.5
h 0.5
p 1
h 0.5
s 1
p 0.5
s 0.5
q 0.5
p 0.5
g 0.5
h 1
p 0.5
g 0.5
w 1
p 0.5
f 0.5
h 0.5
f 0.5
g 0.5
p 0.5
s 0.5
h 0.5
p 1.5
h 0.5
y 0.5
p 0.5
g 0.5
h 0.5
p 0.5
f 0.5
h 1
p 0.5
s 0.5
p 0.5
w 0.5
q 0.5
p 0.5
g 0.5
h 1
g 0.5
p 0.5
w 0.5
p 0.5
g 0.5
p 2.5
g 0.5
h 0.5
q 0.5
p 0.5
w 1.5
p 0.5
w 0.5
t 0.5
w 0.5
s 1
p 0.5
h 0.5
p 0.5
g 0.5
h 0.5
p 0.5
h 0.5
p 0.5
g 0.5
h 0.5
p 1
g 0.5
h 0.5
p 0.5
h 0.5
g 0.5
p 0.5
g 0.5
n 0.5
g 0.5
p 1
r 1
p 0.5
e 0.5
p 0.5
h 0.5
p 0.5
w 0.5
h 0.5
g 0.5
p 0.5
g 0.5
v 0.5
g 0.5
h 0.5
p 0.5
h 0.5
g 1.5
p 0.5
g 0.5
h 0.5
w 0.5
p 0.5
h 0.5
g 0.5
p 0.5
g 0.5
h 0.5
g 0.5
p 1.5
e 0.5
p 1
q 0.5
w 1
p 14.5
