# 曲名：霜雪千年
# 推荐节拍：418 ms/拍
# 身份：洛天依 feat. 乐正绫、COP词曲调校；COPY原作者账号2015原创PV原版，非2024重置或Live。
# 制谱说明：完整正式音频经 Basic Pitch 转 MIDI，再做单旋律聚类与21键自然音阶映射；候选需游戏内试听复核。
p 0.5
q 1
r 0.5
t 0.5
y 0.5
w 0.5
n 0.5
v 0.5
w 0.5
t 0.5
r 0.5
y 0.5
n 0.5
t 0.5
r 0.5
a 1
n 0.5
f 0.5
v 0.5
p 0.5
h 1
s 1
r 0.5
p 1
c 0.5
h 0.5
c 1
p 1
a 0.5
f 0.5
p 1
h 0.5
p 0.5
a 0.5
p 2.5
b 0.5
p 0.5
f 0.5
c 0.5
p 0.5
f 0.5
v 0.5
p 0.5
h 1
p 0.5
s 0.5
b 1
p 0.5
h 0.5
p 1
g 0.5
p 1
f 0.5
g 0.5
h 2
p 1
q 0.5
p 0.5
f 0.5
p 0.5
n 0.5
p 0.5
g 1.5
p 0.5
h 0.5
x 0.5
w 0.5
p 1
h 1.5
w 1
v 0.5
w 0.5
g 0.5
q 0.5
w 0.5
f 0.5
p 0.5
a 0.5
b 0.5
p 1
w 0.5
g 1
p 1.5
q 0.5
p 0.5
f 1
p 0.5
g 0.5
p 1
v 0.5
n 0.5
q 0.5
w 0.5
h 1
a 0.5
f 1
s 0.5
p 0.5
a 0.5
f 1
p 0.5
h 0.5
g 0.5
h 0.5
p 1
q 1
c 1
h 0.5
q 0.5
h 0.5
f 0.5
p 2
s 0.5
p 1.5
w 0.5
h 0.5
p 0.5
g 0.5
p 0.5
v 0.5
p 0.5
g 0.5
p 0.5
d 1
p 0.5
a 0.5
p 0.5
g 0.5
p 0.5
w 0.5
g 1
p 0.5
w 0.5
q 1
p 0.5
b 0.5
c 0.5
p 1
h 0.5
f 0.5
n 0.5
p 0.5
f 0.5
h 1
f 0.5
p 0.5
f 0.5
p 0.5
s 0.5
p 1
f 0.5
p 0.5
x 0.5
h 0.5
v 0.5
q 1.5
p 0.5
f 0.5
q 0.5
b 1
h 0.5
q 0.5
p 0.5
g 1
p 0.5
f 0.5
q 0.5
f 2
q 0.5
f 0.5
s 1
f 0.5
p 0.5
h 0.5
p 0.5
f 0.5
p 0.5
q 0.5
h 0.5
w 0.5
f 0.5
s 0.5
a 0.5
f 0.5
g 0.5
h 0.5
n 0.5
a 1
g 2
p 0.5
h 1.5
s 0.5
a 1.5
s 0.5
h 0.5
q 0.5
w 0.5
g 0.5
p 0.5
g 0.5
d 0.5
a 0.5
s 0.5
t 0.5
p 1
s 1
p 1
q 0.5
p 0.5
h 1
q 0.5
r 0.5
d 1
s 0.5
h 7.5
f 0.5
n 0.5
p 4.5
